team1,team2,winner
QATAR,ECUADOR,ECUADOR
ENGLAND,IRAN,ENGLAND
SENEGAL,NETHERLANDS,NETHERLANDS
UNITED STATES,WALES,WALES
ARGENTINA,SAUDI ARABIA,SAUDI ARABIA
ARGENTINA,SAUDI ARABIA,SAUDI ARABIA
ARGENTINA,SAUDI ARABIA,SAUDI ARABIA
DENMARK,TUNISIA,DENMARK
DENMARK,TUNISIA,DENMARK
DENMARK,TUNISIA,DENMARK
MEXICO,POLAND,MEXICO
MEXICO,POLAND,MEXICO
MEXICO,POLAND,MEXICO
FRANCE,AUSTRALIA,FRANCE
FRANCE,AUSTRALIA,FRANCE
MOROCCO,CROATIA,CROATIA
GERMANY,JAPAN,JAPAN
SPAIN,COSTA RICA,SPAIN
BELGIUM,CANADA,BELGIUM
SWITZERLAND,CAMEROON,SWITZERLAND
URUGUAY,KOREA REPUBLIC,URUGUAY
PORTUGAL,GHANA,PORTUGAL
BRAZIL,SERBIA,BRAZIL
WALES,IRAN,WALES
QATAR,SENEGAL,SENEGAL
NETHERLANDS,ECUADOR,NETHERLANDS
ENGLAND,UNITED STATES,ENGLAND
TUNISIA,AUSTRALIA,AUSTRALIA
POLAND,SAUDI ARABIA,POLAND
FRANCE,DENMARK,FRANCE
ARGENTINA,MEXICO,ARGENTINA
JAPAN,COSTA RICA,COSTA RICA
BELGIUM,MOROCCO,MOROCCO
CROATIA,CANADA,CROATIA
SPAIN,GERMANY,SPAIN
CAMEROON,SERBIA,SERBIA
KOREA REPUBLIC,GHANA,GHANA
BRAZIL,SWITZERLAND,BRAZIL
PORTUGAL,URUGUAY,PORTUGAL
NETHERLANDS,QATAR,NETHERLANDS
ECUADOR,SENEGAL,ECUADOR
WALES,ENGLAND,WALES
IRAN,UNITED STATES,UNITED STATES
AUSTRALIA,DENMARK,AUSTRALIA
TUNISIA,FRANCE,FRANCE
POLAND,ARGENTINA,ARGENTINA
SAUDI ARABIA,MEXICO,MEXICO
CROATIA,BELGIUM,BELGIUM
CANADA,MOROCCO,MOROCCO
SERBIA,SWITZERLAND,SWITZERLAND
SERBIA,SWITZERLAND,SWITZERLAND
JAPAN,SPAIN,JAPAN
CANADA,MOROCCO,MOROCCO
CANADA,MOROCCO,MOROCCO
JAPAN,SPAIN,JAPAN
JAPAN,SPAIN,JAPAN
COSTA RICA,GERMANY,GERMANY
JAPAN,SPAIN,JAPAN
GHANA,URUGUAY,URUGUAY
KOREA REPUBLIC,PORTUGAL,PORTUGAL
SERBIA,SWITZERLAND,SWITZERLAND
CAMEROON,BRAZIL,BRAZIL
CAMEROON,BRAZIL,BRAZIL
CAMEROON,BRAZIL,BRAZIL
NETHERLANDS,UNITED STATES,NETHERLANDS
ARGENTINA,AUSTRALIA,ARGENTINA
FRANCE,POLAND,POLAND
ENGLAND,SENEGAL,ENGLAND
JAPAN,CROATIA,JAPAN
BRAZIL,KOREA REPUBLIC,BRAZIL
MOROCCO,SPAIN,MOROCCO
PORTUGAL,SWITZERLAND,PORTUGAL
PORTUGAL,SWITZERLAND,PORTUGAL
PORTUGAL,SWITZERLAND,PORTUGAL
JAPAN,SPAIN,JAPAN
CROATIA,BRAZIL,BRAZIL
NETHERLANDS,ARGENTINA,ARGENTINA
MOROCCO,PORTUGAL,MOROCCO
ENGLAND,FRANCE,ENGLAND
ARGENTINA,CROATIA,ARGENTINA
FRANCE,MOROCCO,FRANCE
FRANCE,MOROCCO,FRANCE
CROATIA,MOROCCO,MOROCCO
ARGENTINA,FRANCE,ARGENTINA
